"","X","Region","Sub_region","Population","Label","Latitude","Longitude","Dq0","Dq1","Dq2"
"Orcadian",1,"EUROPE","EUROPE","Orcadian",1,59,-3,6,4.48925754437705,3.71490467061409
"Adygei",2,"EUROPE","EUROPE","Adygei",2,44,39,7,4.46276542691012,3.68152866242038
"Russian",3,"EUROPE","EUROPE","Russian",3,61,40,7,4.49282459829856,3.733029934186
"Basque",4,"EUROPE","EUROPE","Basque",4,43,0,7,4.44147429987959,3.64396354116339
"French",5,"EUROPE","EUROPE","French",5,46,2,7,4.6483109174204,3.81013182732572
"Italian",6,"EUROPE","EUROPE","Italian",6,46,10,6,4.48529631061591,3.70216722728984
"Sardinian",7,"EUROPE","EUROPE","Sardinian",7,40,9,7,4.44799547219795,3.68758730808649
"Tuscan",8,"EUROPE","EUROPE","Tuscan",8,43,11,6,4.68975028324046,3.71711790562567
"Mozabite",9,"ASIA","MIDDLE_EAST","Mozabite",9,32,3,7,4.74834748331095,3.92991283976119
"Bedouin",10,"ASIA","MIDDLE_EAST","Bedouin",10,31,35,8,4.73943588335484,3.85541768340496
"Druze",11,"ASIA","MIDDLE_EAST","Druze",11,32,35,7,4.52832804235473,3.70988344282536
"Palestinian",12,"ASIA","MIDDLE_EAST","Palestinian",12,32,35,8,4.68372080530076,3.84092288786482
"Balochi",13,"ASIA","CENTRAL_SOUTH_ASIA","Balochi",13,30.5,66.5,7,4.63031799726007,3.78885622661804
"Brahui",14,"ASIA","CENTRAL_SOUTH_ASIA","Brahui",14,30.5,66.5,7,4.64501134603106,3.7660712436923
"Burusho",15,"ASIA","CENTRAL_SOUTH_ASIA","Burusho",15,36.5,74,7,4.52632102197907,3.75839430364232
"Hazara",16,"ASIA","CENTRAL_SOUTH_ASIA","Hazara",16,33.5,70,7,4.61743016847171,3.76973088334831
"Kalash",17,"ASIA","CENTRAL_SOUTH_ASIA","Kalash",17,36,71.5,6,4.09849595854655,3.44664785227848
"Makrani",18,"ASIA","CENTRAL_SOUTH_ASIA","Makrani",18,26,64,7,4.73419958339417,3.87592081808388
"Pathan",19,"ASIA","CENTRAL_SOUTH_ASIA","Pathan",19,33.5,70.5,7,4.63322335987819,3.8249347761577
"Sindhi",20,"ASIA","CENTRAL_SOUTH_ASIA","Sindhi",20,25.5,69,7,4.65723755073183,3.82724252491694
"Melanesian",21,"OCEANIA","OCEANIA","Melanesian",21,-6,155,6,3.84333281848727,3.24376434654004
"Papuan",22,"OCEANIA","OCEANIA","Papuan",22,-4,143,6,4.05984259878074,3.33857749727386
"Colombian",23,"AMERICA","AMERICA","Colombian",23,3,-68,4,3.28794114640102,2.8
"Karitiana",24,"AMERICA","AMERICA","Karitiana",24,-10,-63,4,2.86089911398922,2.46727230375029
"Maya",25,"AMERICA","AMERICA","Maya",25,19,-91,6,3.90223833785144,3.18964089676836
"Pima",26,"AMERICA","AMERICA","Pima",26,29,-108,4,3.22449711870439,2.75362879673217
"BantuKenya",27,"AFRICA","AFRICA","BantuKenya",27,-3,37,7,5.20277198641149,4.18173986803633
"BantuSouthWest",28,"AFRICA","AFRICA","BantuSouthWest",28,-21,18.7,5,4,4
"BantuSouthEast",29,"AFRICA","AFRICA","BantuSouthEast",29,-28.4,27.6,6,4.60145844321124,3.84919670043602
"Mandenka",30,"AFRICA","AFRICA","Mandenka",30,12,-12,7,5.03761653507347,4.12206448279452
"Yoruba",31,"AFRICA","AFRICA","Yoruba",31,8,5,8,5.28225326158893,4.23429212040574
"BiakaPygmy",32,"AFRICA","AFRICA","BiakaPygmy",32,4,17,8,5.09408925115973,4.27933400533324
"MbutiPygmy",33,"AFRICA","AFRICA","MbutiPygmy",33,1,29,7,4.97127853794378,4.09925335099095
"San",34,"AFRICA","AFRICA","San",34,-21,20,6,5.1933575902456,3.97076657265897
"Han",35,"ASIA","EAST_ASIA","Han",35,32.5,114,7,4.3627574859056,3.6006647024678
"Han-NChina",36,"ASIA","EAST_ASIA","Han-NChina",36,39,114,6,4.40626639650395,3.51711495802358
"Dai",37,"ASIA","EAST_ASIA","Dai",37,21,100,6,4.29506915593864,3.49447874679071
"Daur",38,"ASIA","EAST_ASIA","Daur",38,48.5,124,6,4.29310008431286,3.50877192982456
"Hezhen",39,"ASIA","EAST_ASIA","Hezhen",39,47.5,133.5,6,4.11848068982504,3.4468085106383
"Lahu",40,"ASIA","EAST_ASIA","Lahu",40,22,100,5,3.93732827270309,3.33236714356852
"Miao",41,"ASIA","EAST_ASIA","Miao",41,28,109,6,4.23980531440466,3.42239400709088
"Oroqen",42,"ASIA","EAST_ASIA","Oroqen",42,50.5,126.5,6,4.11848068982504,3.43619939204674
"She",43,"ASIA","EAST_ASIA","She",43,27,119,6,4.07347009138855,3.3657635345451
"Tujia",44,"ASIA","EAST_ASIA","Tujia",44,29,109,6,4.13768379531427,3.47130547290357
"Tu",45,"ASIA","EAST_ASIA","Tu",45,36,101,6,4.19224188624562,3.49447874679071
"Xibo",46,"ASIA","EAST_ASIA","Xibo",46,43.5,81.5,6,4.34949831378723,3.52173913043478
"Yi",47,"ASIA","EAST_ASIA","Yi",47,28,103,6,4.35527761810304,3.51455595233889
"Mongola",48,"ASIA","EAST_ASIA","Mongola",48,48.5,119,6,4.41933625773836,3.57142857142857
"Naxi",49,"ASIA","EAST_ASIA","Naxi",49,26,100,6,4.05610907848659,3.45553368394259
"Uygur",50,"ASIA","EAST_ASIA","Uygur",50,44,81,7,4.67196137211085,3.87909603223494
"Cambodian",51,"ASIA","EAST_ASIA","Cambodian",51,12,105,6,4.45267631269779,3.6045795986842
"Japanese",52,"ASIA","EAST_ASIA","Japanese",52,38,138,7,4.30240465356727,3.56955548434932
"Yakut",53,"ASIA","EAST_ASIA","Yakut",53,63,129.5,7,4.24667276055245,3.47934897856959
"Surui",54,"AMERICA","AMERICA","Surui",54,-11,-62,3,2.3811015779523,2.0506329113924
"TundraNentsi",55,"ASIA","EAST_ASIA","TundraNentsi",55,67,65,6,4.35942022682845,3.6049973368398
"Chipewyan",56,"AMERICA","AMERICA","Chipewyan",56,59.55,-107.3,6,3.84196886361391,3.16483516483516
"Cree",57,"AMERICA","AMERICA","Cree",57,50.33,-102.5,6,4.19497075471321,3.46179663228095
"Ojibwa",58,"AMERICA","AMERICA","Ojibwa",58,46.5,-81,6,4.11939879962539,3.36078295527981
"Kaqchikel",59,"AMERICA","AMERICA","Kaqchikel",59,15,-91,5,3.72022927515905,3.1025641025641
"Mixtec",60,"AMERICA","AMERICA","Mixtec",60,17,-97,5,3.58508437339873,3.00270913052073
"Mixe",61,"AMERICA","AMERICA","Mixe",61,17,-96,5,3.54747024633122,2.93009038918919
"Zapotec",62,"AMERICA","AMERICA","Zapotec",62,16,-97,6,3.93328136434377,3.22768372860524
"Guaymi",63,"AMERICA","AMERICA","Guaymi",63,8.5,-82,4,3.06639805764844,2.63670787392805
"Cabecar",64,"AMERICA","AMERICA","Cabecar",64,9.5,-84,5,3.44427806596299,2.84861822577208
"Aymara",65,"AMERICA","AMERICA","Aymara",65,-22,-70,6,3.77398236863928,3.07109004739337
"Huilliche",66,"AMERICA","AMERICA","Huilliche",66,-41,-73,6,3.94036927502106,3.17070247599509
"Guarani",67,"AMERICA","AMERICA","Guarani",67,-23,-54,5,3.51039471883398,2.90909090909091
"Ache",68,"AMERICA","AMERICA","Ache",68,-24,-56,3,2.34765274607551,2.03134796238245
"Kaingang",69,"AMERICA","AMERICA","Kaingang",69,-24,-52.5,4,3.28794114640102,2.72751524099954
"Quechua",70,"AMERICA","AMERICA","Quechua",70,-14,-74,6,3.90016475438141,3.18725099601594
"Kogi",71,"AMERICA","AMERICA","Kogi",71,11,-74,3,2.78411152138587,2.41509433962264
"Zenu",72,"AMERICA","AMERICA","Zenu",72,9,-75,5,3.51923428236483,2.9235275744029
"Inga",73,"AMERICA","AMERICA","Inga",73,1,-77,5,3.52258782694416,2.86999738805831
"Wayuu",74,"AMERICA","AMERICA","Wayuu",74,11,-73,6,3.87535390057038,3.1691887370758
"TicunaArara",75,"AMERICA","AMERICA","TicunaArara",75,-4,-70,4,2.98175701457174,2.55368421052632
"TicunaTarapaca",76,"AMERICA","AMERICA","TicunaTarapaca",76,-4,-70,4,2.95312091372446,2.58835582861776
"Embera",77,"AMERICA","AMERICA","Embera",77,7,-76,5,3.43028478181225,2.8
"Waunana",78,"AMERICA","AMERICA","Waunana",78,5,-77,5,3.50154423292831,2.89685807198802
"Arhuaco",79,"AMERICA","AMERICA","Arhuaco",79,11,-73.8,4,3.31430294766198,2.84210526315789
