,Region,Sub_region,Population,Label,Latitude,Longitude
1,EUROPE,EUROPE,Orcadian,1,59,-3
2,EUROPE,EUROPE,Adygei,2,44,39
3,EUROPE,EUROPE,Russian,3,61,40
4,EUROPE,EUROPE,Basque,4,43,0
5,EUROPE,EUROPE,French,5,46,2
6,EUROPE,EUROPE,Italian,6,46,10
7,EUROPE,EUROPE,Sardinian,7,40,9
8,EUROPE,EUROPE,Tuscan,8,43,11
9,ASIA,MIDDLE_EAST,Mozabite,9,32,3
10,ASIA,MIDDLE_EAST,Bedouin,10,31,35
11,ASIA,MIDDLE_EAST,Druze,11,32,35
12,ASIA,MIDDLE_EAST,Palestinian,12,32,35
13,ASIA,CENTRAL_SOUTH_ASIA,Balochi,13,30.5,66.5
14,ASIA,CENTRAL_SOUTH_ASIA,Brahui,14,30.5,66.5
15,ASIA,CENTRAL_SOUTH_ASIA,Burusho,15,36.5,74
16,ASIA,CENTRAL_SOUTH_ASIA,Hazara,16,33.5,70
17,ASIA,CENTRAL_SOUTH_ASIA,Kalash,17,36,71.5
18,ASIA,CENTRAL_SOUTH_ASIA,Makrani,18,26,64
19,ASIA,CENTRAL_SOUTH_ASIA,Pathan,19,33.5,70.5
20,ASIA,CENTRAL_SOUTH_ASIA,Sindhi,20,25.5,69
21,OCEANIA,OCEANIA,Melanesian,21,-6,155
22,OCEANIA,OCEANIA,Papuan,22,-4,143
23,AMERICA,AMERICA,Colombian,23,3,-68
24,AMERICA,AMERICA,Karitiana,24,-10,-63
25,AMERICA,AMERICA,Maya,25,19,-91
26,AMERICA,AMERICA,Pima,26,29,-108
27,AFRICA,AFRICA,BantuKenya,27,-3,37
28,AFRICA,AFRICA,BantuSouthWest,28,-21,18.7
29,AFRICA,AFRICA,BantuSouthEast,29,-28.4,27.6
30,AFRICA,AFRICA,Mandenka,30,12,-12
31,AFRICA,AFRICA,Yoruba,31,8,5
32,AFRICA,AFRICA,BiakaPygmy,32,4,17
33,AFRICA,AFRICA,MbutiPygmy,33,1,29
34,AFRICA,AFRICA,San,34,-21,20
35,ASIA,EAST_ASIA,Han,35,32.5,114
36,ASIA,EAST_ASIA,Han-NChina,36,39,114
37,ASIA,EAST_ASIA,Dai,37,21,100
38,ASIA,EAST_ASIA,Daur,38,48.5,124
39,ASIA,EAST_ASIA,Hezhen,39,47.5,133.5
40,ASIA,EAST_ASIA,Lahu,40,22,100
41,ASIA,EAST_ASIA,Miao,41,28,109
42,ASIA,EAST_ASIA,Oroqen,42,50.5,126.5
43,ASIA,EAST_ASIA,She,43,27,119
44,ASIA,EAST_ASIA,Tujia,44,29,109
45,ASIA,EAST_ASIA,Tu,45,36,101
46,ASIA,EAST_ASIA,Xibo,46,43.5,81.5
47,ASIA,EAST_ASIA,Yi,47,28,103
48,ASIA,EAST_ASIA,Mongola,48,48.5,119
49,ASIA,EAST_ASIA,Naxi,49,26,100
50,ASIA,EAST_ASIA,Uygur,50,44,81
51,ASIA,EAST_ASIA,Cambodian,51,12,105
52,ASIA,EAST_ASIA,Japanese,52,38,138
53,ASIA,EAST_ASIA,Yakut,53,63,129.5
54,AMERICA,AMERICA,Surui,54,-11,-62
55,ASIA,EAST_ASIA,TundraNentsi,55,67,65
56,AMERICA,AMERICA,Chipewyan,56,59.55,-107.3
57,AMERICA,AMERICA,Cree,57,50.33,-102.5
58,AMERICA,AMERICA,Ojibwa,58,46.5,-81
59,AMERICA,AMERICA,Kaqchikel,59,15,-91
60,AMERICA,AMERICA,Mixtec,60,17,-97
61,AMERICA,AMERICA,Mixe,61,17,-96
62,AMERICA,AMERICA,Zapotec,62,16,-97
63,AMERICA,AMERICA,Guaymi,63,8.5,-82
64,AMERICA,AMERICA,Cabecar,64,9.5,-84
65,AMERICA,AMERICA,Aymara,65,-22,-70
66,AMERICA,AMERICA,Huilliche,66,-41,-73
67,AMERICA,AMERICA,Guarani,67,-23,-54
68,AMERICA,AMERICA,Ache,68,-24,-56
69,AMERICA,AMERICA,Kaingang,69,-24,-52.5
70,AMERICA,AMERICA,Quechua,70,-14,-74
71,AMERICA,AMERICA,Kogi,71,11,-74
72,AMERICA,AMERICA,Zenu,72,9,-75
73,AMERICA,AMERICA,Inga,73,1,-77
74,AMERICA,AMERICA,Wayuu,74,11,-73
75,AMERICA,AMERICA,TicunaArara,75,-4,-70
76,AMERICA,AMERICA,TicunaTarapaca,76,-4,-70
77,AMERICA,AMERICA,Embera,77,7,-76
78,AMERICA,AMERICA,Waunana,78,5,-77
79,AMERICA,AMERICA,Arhuaco,79,11,-73.8
